Date,Temp,Cond,pH
2020-May-15 15:50,19.51,179.50,7.00
2020-May-15 15:57,19.51,179.50,7.00
2020-May-15 15:57,19.51,179.60,7.00
2020-May-15 16:03,19.53,179.80,7.00
2020-May-15 17:01,19.62,180.80,7.00
2020-May-15 18:01,19.70,181.70,7.00
2020-May-15 19:01,19.65,181.80,7.00
2020-May-15 20:01,19.50,182.00,7.00
2020-May-15 21:01,19.36,181.40,7.00
2020-May-15 22:01,19.23,180.30,7.00
2020-May-15 23:01,19.02,180.20,7.00
2020-May-16 00:01,18.78,178.80,7.00
2020-May-16 01:01,18.55,178.40,7.00
2020-May-16 02:01,18.33,177.80,7.00
2020-May-16 03:01,18.08,176.50,7.00
2020-May-16 04:01,18.32,175.30,7.00
2020-May-16 05:01,18.47,176.60,7.00
2020-May-16 06:01,18.63,176.80,7.00
2020-May-16 06:24,18.68,177.40,7.00
2020-May-16 06:25,18.69,177.60,7.00
2020-May-16 06:29,18.70,177.90,7.00
2020-May-16 07:01,18.75,177.80,7.00
2020-May-16 08:01,18.90,178.90,7.00
2020-May-16 09:01,19.15,179.00,7.00
2020-May-16 10:01,19.39,179.90,7.00
2020-May-16 11:01,19.61,181.40,7.00
2020-May-16 12:01,19.75,181.80,7.00
2020-May-16 13:01,19.87,182.90,7.00
2020-May-16 14:01,19.97,182.90,7.00
2020-May-16 15:01,20.07,183.10,7.00
2020-May-16 16:01,20.16,184.30,7.00
2020-May-16 17:01,20.17,184.10,7.00
2020-May-16 18:01,20.24,181.00,7.00
2020-May-16 19:01,20.23,182.90,7.00
2020-May-16 20:01,20.13,180.40,7.00
2020-May-16 21:01,20.02,181.40,7.00
2020-May-16 22:01,19.83,180.50,7.00
2020-May-16 23:01,19.64,179.80,7.00
2020-May-17 00:01,19.41,182.40,7.00
2020-May-17 01:01,19.16,178.10,7.00
2020-May-17 02:01,18.96,178.00,7.00
2020-May-17 03:01,18.69,179.00,7.00
2020-May-17 04:01,18.87,174.40,7.00
2020-May-17 05:01,18.97,175.30,7.01
2020-May-17 06:01,19.09,181.00,7.00
2020-May-17 07:01,19.20,180.80,7.00
2020-May-17 08:01,19.32,181.70,7.00
2020-May-17 09:01,19.47,180181.41,7.00
2020-May-17 10:01,19.69,180.20,7.00
2020-May-17 11:01,19.93,183.20,7.00
2020-May-17 12:01,20.11,186.10,7.00
2020-May-17 13:01,20.29,186.00,7.00
2020-May-17 14:01,20.47,187.30,7.00
2020-May-17 15:01,20.65,187.20,7.00
2020-May-17 16:01,20.75,188.00,7.00
2020-May-17 17:01,20.75,189.60,7.00
2020-May-17 18:01,20.80,190.50,7.00
2020-May-17 19:01,20.75,189.80,7.00
2020-May-17 20:01,20.63,190.50,7.00
2020-May-17 21:01,20.38,189.50,7.00
2020-May-17 22:01,20.19,188.70,7.00
2020-May-17 23:01,19.95,187.90,7.00
2020-May-18 00:01,19.69,186.60,7.00
2020-May-18 01:01,19.40,185.60,7.00
2020-May-18 02:01,19.15,184.50,7.00
2020-May-18 03:01,18.84,183.80,7.00
2020-May-18 04:01,19.06,183.30,7.00
2020-May-18 05:01,19.09,183.50,7.00
2020-May-18 06:01,18.95,183.80,7.00
2020-May-18 07:01,18.83,183.20,7.00
2020-May-18 08:01,18.75,182.70,7.00
2020-May-18 09:01,18.91,182.60,7.00
2020-May-18 10:01,19.13,182.70,7.00
2020-May-18 11:01,19.37,184.60,7.00
2020-May-18 12:01,19.56,185.30,7.00
2020-May-18 13:01,19.74,186.20,7.00
2020-May-18 14:01,19.88,188.40,7.00
2020-May-18 15:01,19.96,189.30,7.00
2020-May-18 16:01,20.08,189.50,7.00
2020-May-19 07:01,19.40,188.80,7.01
2020-May-19 08:01,19.41,188.60,7.01
2020-May-19 09:01,19.52,188.90,7.00
2020-May-19 10:01,19.68,189.80,7.00
2020-May-19 11:01,19.77,190.40,7.00
2020-May-19 12:01,19.86,190.50,7.00
2020-May-19 13:01,19.96,191.70,7.00
2020-May-19 21:01,20.38,194.50,7.00
2020-May-19 22:01,20.36,195.30,7.00
2020-May-19 23:01,20.35,195.00,7.00
2020-May-20 00:01,20.28,195.70,7.00
2020-May-20 01:01,20.26,195.80,7.00
2020-May-22 14:01,18.82,107.60,7.00
2020-May-22 15:01,18.96,107.90,7.00
2020-May-22 16:01,19.06,108.30,7.00
2020-May-22 17:01,19.16,108.50,7.00
2020-May-22 18:01,19.18,109.20,7.00
2020-May-22 19:01,19.14,109.10,7.00
2020-May-22 20:01,19.09,109.60,7.00
2020-May-22 21:01,19.03,109.10,7.00
2020-May-22 22:01,18.91,109108.60,7.00
2020-May-22 23:01,18.85,109.00,7.00
2020-May-23 00:01,18.74,108.90,7.00
2020-May-23 01:01,18.64,108.70,7.00
2020-May-23 02:01,18.58,108.20,7.00
2020-May-23 03:01,18.47,108.40,7.00
2020-May-23 04:01,18.72,107.80,7.00
2020-May-23 05:01,18.91,108.30,7.00
2020-May-23 06:01,19.05,108.90,7.01
2020-May-23 07:01,19.17,109.40,7.00
2020-May-23 08:01,19.25,110.30,7.00
2020-May-23 09:01,19.43,111.00,7.00
2020-May-23 10:01,19.56,110.70,7.00
2020-May-23 11:01,19.62,111.90,7.00
2020-May-23 12:01,19.77,112.30,7.01
2020-May-23 13:01,19.87,113.50,7.00
2020-May-23 14:01,20.01,113.10,7.00
2020-May-23 15:01,20.08,113.80,7.00
2020-May-23 16:01,20.17,114.50,7.00
2020-May-23 17:01,20.20,115.20,7.00
2020-May-23 18:01,20.22,115.90,7.00
2020-May-23 19:01,20.14,116.40,7.00
2020-May-23 20:01,20.03,117.00,7.00
2020-May-23 21:01,19.91,116.80,7.00
2020-May-23 22:01,19.77,116.60,7.00
2020-May-23 23:01,19.64,116.40,7.00
2020-May-24 00:01,19.53,116.40,7.00
2020-May-24 01:01,19.39,116.20,7.00
2020-May-24 02:01,19.29,116.50,7.00
2020-May-24 03:01,19.16,116.70,7.00
2020-May-24 04:01,19.41,115.90,7.00
2020-May-24 05:01,19.49,116.30,7.00
2020-May-24 06:01,19.61,116.70,7.00
2020-May-24 07:01,19.64,118.00,7.00
2020-May-24 08:01,19.75,117.40,7.00
2020-May-24 09:01,19.80,118.40,7.00
2020-May-24 10:01,19.92,118.60,7.00
2020-May-24 11:01,20.02,118.80,7.00
2020-May-24 12:01,20.06,119.60,7.00
2020-May-24 13:01,20.12,119.80,7.00
2020-May-24 14:01,20.15,120.70,7.00
2020-May-24 15:01,20.19,120.00,7.00
2020-May-24 16:01,20.24,121.80,7.00
2020-May-24 17:01,20.29,121.30,7.00
2020-May-24 18:01,20.26,122.00,7.00
2020-May-24 19:01,20.10,121.50,7.00
2020-May-24 20:01,19.90,121.70,7.00
2020-May-24 21:01,19.76,121.40,7.01
2020-May-24 22:01,19.57,120.60,7.00
2020-May-24 23:01,19.36,120.50,7.00
2020-May-25 00:01,19.10,119.60,7.00
2020-May-25 01:01,18.87,119.10,7.00
2020-May-25 02:01,18.64,118.50,7.00
2020-May-25 03:01,18.34,117.80,7.00
2020-May-25 04:01,18.69,117.70,7.00
2020-May-25 05:01,18.77,118.10,7.00
2020-May-25 06:01,18.66,118.00,7.00
2020-May-25 07:01,18.59,118.40,7.00
2020-May-25 08:01,18.61,118.10,7.00
2020-May-25 09:01,18.68,117.60,7.00
2020-May-25 10:01,18.90,118.00,7.00
2020-May-25 11:01,19.06,118.20,7.01
2020-May-25 12:01,19.24,118.90,7.01
2020-May-25 13:01,19.37,119.60,7.00
2020-May-25 14:01,19.46,120.10,7.00
2020-May-25 15:01,19.57,120.50,7.00
2020-May-25 16:01,19.70,120.50,7.00
2020-May-25 17:01,19.81,121.10,7.00
2020-May-25 21:01,19.45,121.80,7.00
2020-May-25 22:01,19.26,121.00,7.00
2020-May-26 00:01,18.88,120.40,7.00
2020-May-26 01:01,18.58,119.80,7.00
2020-May-26 02:01,18.32,119.30,7.00
2020-May-26 03:01,18.10,118.60,7.00
2020-May-26 04:01,18.44,118.10,7.00
2020-May-26 05:01,18.41,117.90,7.00
2020-May-26 06:01,18.40,118118.40,7.00
2020-May-26 07:01,18.28,118.00,7.00
2020-May-26 08:01,18.12,117.80,7.00
2020-May-26 09:01,18.22,117.20,7.00
2020-May-26 10:01,18.48,117118.00,7.00
2020-May-26 11:01,18.72,118.60,7.01
2020-May-26 12:01,18.89,118.30,7.00
2020-May-26 13:01,19.07,116118.80,7.00
2020-May-26 14:01,19.19,119.30,7.00
2020-May-26 15:01,19.33,119.70,7.00
2020-May-26 16:01,19.49,118.60,7.00
2020-May-26 17:01,19.52,120.90,7.00
2020-May-26 18:01,19.72,122.30,7.00
2020-May-26 19:01,19.59,122.50,7.00
2020-May-26 20:01,19.58,122.50,7.00
2020-May-26 21:01,19.52,122.70,7.00
2020-May-26 22:01,19.26,121.90,7.00
2020-May-26 23:01,19.07,121.90,7.00
2020-May-27 00:01,19.05,121.80,7.00
2020-May-27 01:01,18.84,121.10,7.00
2020-May-27 02:01,18.65,120.90,7.00
2020-May-27 03:01,18.50,120.40,7.00
2020-May-27 04:01,18.79,120.10,7.00
2020-May-27 05:01,18.93,120.20,7.00
2020-May-27 06:01,19.01,121.20,7.00
2020-May-27 07:01,19.04,121.80,7.00
2020-May-27 08:01,19.15,120.80,7.00
2020-May-27 09:01,19.20,121.90,7.00
2020-May-27 10:01,19.33,122.20,7.00
2020-May-27 11:01,19.42,122.80,7.00
2020-May-27 12:01,19.55,123.00,7.00
2020-May-27 13:01,19.58,123.70,7.00
2020-May-27 14:01,19.65,123.90,7.00
2020-May-27 15:01,19.81,123.80,7.00
2020-Jun-04 06:01,17.28,134.50,7.01
2020-Jun-04 07:01,16.91,134.80,7.01
2020-Jun-04 08:01,16.26,135.50,7.00
2020-Jun-04 10:01,17.66,132.60,7.01
2020-Jun-04 11:01,17.95,136.60,7.01
2020-Jun-04 12:01,17.37,137.60,7.00
2020-Jun-04 13:01,17.84,138.20,7.00
2020-Jun-04 14:01,17.38,135.00,7.00
2020-Jun-04 15:01,17.56,135.40,7.00
2020-Jun-04 16:01,17.47,139.00,7.00
2020-Jun-04 17:01,17.44,138.70,7.00
2020-Jun-04 18:01,17.75,139.20,7.00
2020-Jun-04 19:01,16.90,139.30,7.00
2020-Jun-04 20:01,15.73,139.30,7.00
2020-Jun-04 21:01,15.58,138.90,7.01
2020-Jun-04 22:01,16.46,138.30,7.00
2020-Jun-04 23:01,15.77,137.90,7.00
2020-Jun-05 00:01,15.85,137.40,7.00
2020-Jun-05 01:01,15.30,136.20,7.00
2020-Jun-05 02:01,14.95,135.60,7.00
2020-Jun-05 03:01,14.22,135.50,7.00
2020-Jun-05 04:01,17.00,134.30,7.00
2020-Jun-05 05:01,15.32,134.80,7.00
2020-Jun-05 06:01,15.60,135.10,7.00
2020-Jun-05 07:01,15.84,134.90,7.00
2020-Jun-05 08:01,15.80,135.10,7.00
2020-Jun-05 09:01,15.95,135.80,7.00
2020-Jun-05 10:01,16.73,136.40,7.00
2020-Jun-05 11:01,17.01,136.30,7.00
2020-Jun-05 12:01,17.05,134.50,7.01
2020-Jun-05 13:01,17.19,133.70,7.00
2020-Jun-05 14:01,17.01,137.80,7.00
2020-Jun-05 15:01,17.13,139.50,7.00
2020-Jun-05 16:01,17.14,138.30,7.00
